AGC,v_obs,v_obs_plus,v_obs_minus,v_newton,v_newton_plus,v_newton_minus,z_newton,v_mond,v_mond_plus,v_mond_minus,z_mond,v_hmg,v_hmg_plus,v_hmg_minus,z_hmg
114905,23.0,4.0,6.0,29.0,8.0,6.0,0.8320502943378437,74.36056185627615,9.5,8.15,5.657269582742121,34.99835801278837,5.72,4.03,2.113091184432406
122966,37.0,5.0,6.0,25.0,4.0,4.0,-1.6641005886756874,73.56624217996473,6.07,5.68,4.832207311305904,35.46065975142116,2.64,2.17,-0.23483021158960127
219533,37.0,6.0,5.0,32.0,12.0,8.0,-0.38461538461538464,80.98122769869643,12.0,10.2,3.7165612723677515,38.538759925397024,7.05,4.79,0.20042444828465272
248945,27.0,3.0,3.0,24.0,6.0,5.0,-0.4472135954999579,67.19891530737381,8.28,7.3,5.093369333925014,31.62414364939865,3.96,2.88,1.1119328664339934
334315,25.0,5.0,5.0,33.0,6.0,5.0,1.131370849898476,76.0583606013032,8.21,7.04,5.913018758860966,35.89468945818077,4.8,3.48,1.78840978717553
749290,26.0,6.0,6.0,27.0,6.0,5.0,0.12803687993289598,72.37888871659928,6.97,6.44,5.269185278840611,33.994007053753734,3.75,2.96,1.1948454281232341
